id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
80548,97ca059c-6d86-4128-e216-6dbdcf4e8f3a,Young Man in a Turban,Follower of Rembrandt van Rijn,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,c. 1650,Holland
62371,02584b05-513c-5322-f81e-5f0c4139e6b3,Madame Cézanne in a Yellow Chair,Paul Cézanne,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","portraits,emotions,women,families",1888/90,France
36193,80428948-574a-7dc2-8956-d920921c394f,Man and Female Nude Leaning on a Chair,Philip Pearlstein,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","nudes,rugs,interiors,chairs,hairstyles,women,men",1970,United States
59867,89f059fb-4919-6783-6b7e-ec960a639b60,Landscape in Provence,André Derain,Modern Art,Modern Art,"painting,modern and contemporary art","France,countryside,trees,landscapes,Provence",c. 1930,France
109285,bfdd1e83-ccfd-ccae-7832-70aec91d7cee,The Host,Gerald McLaughlin,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1955,United States
65908,97314d3d-dc9b-fd8e-644e-eb5150f16721,The Dark Mountain,Marsden Hartley,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1909,United States
111436,5b79b325-4fa5-0db9-2f3a-a99586400286,The Basket of Apples,Paul Cézanne,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Essentials","oil on canvas,painting,european painting","Century of Progress,still life,food,world's fairs,Chicago World's Fairs",c. 1893,France
105025,83dbec4a-ccf2-71f3-1c60-551065b8fd15,E Special,Larry Poons,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1971,United States
100227,de1e2f41-8bbc-4530-7d63-e9cbcae88de7,Two Candles (Zwei Kerzen),Gerhard Richter,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1982,Germany
144929,511fd42a-2fbd-2c49-8c3f-d82976a4081c,Painted Banner (Thangka) of Bon Deity Tonpa Shenrap,,Arts of Asia,Arts of Asia,"unidentified,asian art,painting",,16th century,Tibet
44886,8e096d6a-92c9-9e6c-d978-b5817d187f2d,Woman in a Straw Hat,French School,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1790,France
9510,b0a463e2-4c5f-4055-26ba-08d7d42f8827,Guelder Roses and the Venus of Milo,Édouard Jean Vuillard,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,modern and contemporary art",still life,1905,France
129849,3f732b69-0ae7-7d1e-ad53-e20b0cc2de72,Houses at Murnau,Vasily Kandinsky,Modern Art,Modern Art,"painting,modern and contemporary art",,1909,Germany
84767,cd9e4fe1-7404-dbee-522f-8d8e0335a830,The Bamboo Slope 竹坡圖,Wang Hui,Arts of Asia,Arts of Asia,"handscroll,painting,asian art",,"Qing dynasty (1644–1912), 1710 清朝",China
104264,4d3b1a91-4928-8276-e04c-3bc1c0fb751c,Self-Portrait (No. 6),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1981,United States
